name,team,cmppct,tdpct,intpct,skpct,pacr,adjepacpoe,epaatt,anyatt,passrtg,year,mvp
Nick Foles,PHI,69.17293233,3.759398496,3.007518797,3.623188406,0.961636829,0.115119794,0.076089156,6.032608696,89.17606516,2018,0
Kirk Cousins,MIN,70.1320132,4.95049505,1.650165017,6.191950464,0.977707006,0.066025934,-0.019903761,6.479876161,99.70434543,2018,0
Andrew Luck,IND,66.19519095,5.940594059,2.263083451,2.884615385,0.928227895,0.107266941,0.141515612,6.840659341,97.19177275,2018,0
Brock Osweiler,MIA,63.48314607,3.370786517,2.247191011,8.717948718,0.875702247,0.037067214,-0.053566767,5.420512821,86.04868914,2018,0
Ryan Tannehill,MIA,64.23357664,6.204379562,3.284671533,11.32686084,0.887842082,0.018966029,-0.203224031,5.291262136,92.70072993,2018,0
Derek Carr,LV,68.89692586,3.435804702,1.808318264,8.443708609,1.071731075,0.081604359,-0.002180555,6.092715232,93.92329717,2018,0
Blake Bortles,JAX,60.29776675,3.225806452,2.729528536,7.142857143,0.940809969,0.010998829,-0.055614196,5.322580645,79.81286187,2018,0
Jameis Winston,TB,64.55026455,5.026455026,3.703703704,6.666666667,0.732256486,0.130767902,0.123112143,6.382716049,90.17857143,2018,0
Marcus Mariota,TEN,68.88217523,3.32326284,2.416918429,11.26005362,1.004769475,0.093352688,0.027679242,5.750670241,92.31495468,2018,0
Jeff Driskel,CIN,59.65909091,3.409090909,1.136363636,8.333333333,0.727866473,0.030209679,-0.081023938,4.744791667,82.17329545,2018,0
Carson Wentz,PHI,69.57605985,5.236907731,1.74563591,7.175925926,0.98525641,0.122575568,0.090304476,6.891203704,102.1872402,2018,0
Dak Prescott,DAL,67.34348562,4.060913706,1.52284264,8.936825886,0.983153639,0.083328137,0.048521753,6.297380586,96.25282008,2018,0
Cody Kessler,JAX,64.88549618,1.526717557,1.526717557,14.37908497,0.805681818,0.038693724,-0.303911755,3.333333333,77.43320611,2018,0
Jared Goff,LA,63.41829085,4.947526237,2.098950525,5.390070922,0.936199723,0.108929818,0.162267404,7.330496454,96.41116942,2018,0
Nick Mullens,SF,64.23357664,4.744525547,3.649635036,5.841924399,1.198421053,0.112880028,0.113567231,6.735395189,90.84549878,2018,0
Deshaun Watson,HOU,67.50902527,4.873646209,1.805054152,10.50080775,0.941780822,0.112610751,0.08760776,6.604200323,100.1579422,2018,0
Mitchell Trubisky,CHI,66.03773585,5.241090147,2.51572327,5.168986083,0.819047619,0.129250364,0.117312013,6.622266402,94.90303983,2018,0
Patrick Mahomes,KC,65.33742331,8.128834356,1.840490798,4.956268222,0.938275691,0.193255754,0.351747421,8.670553936,112.1932515,2018,1
C.J. Beathard,SF,60.35502959,4.733727811,4.142011834,9.625668449,1.122869955,-0.0010168,-0.143677318,5.032085561,81.76775148,2018,0
Josh Rosen,ARI,55.21628499,2.798982188,3.562340967,10.2739726,0.698344574,-0.018082841,-0.385968732,3.534246575,66.735581,2018,0
Lamar Jackson,BAL,56.7839196,4.020100503,2.010050251,10.36036036,0.808695652,0.019894198,-0.063177751,5.626126126,83.63693467,2018,0
Baker Mayfield,CLE,63.78600823,5.555555556,2.880658436,4.892367906,0.825027685,0.08933743,0.078059756,6.774951076,93.68998628,2018,0
Josh Allen,BUF,52.8125,3.125,3.75,8.045977011,0.591894977,0.01247095,-0.12760805,4.370689655,67.890625,2018,0
Sam Darnold,NYJ,57.7294686,4.106280193,3.623188406,6.756756757,0.747651357,0.026979825,-0.031275399,5.238738739,77.61674718,2018,0
Tom Brady,NE,65.83333333,5.555555556,1.111111111,5.138339921,0.858754513,0.167339556,0.253847587,7.814229249,103.8715278,2017,1
Drew Brees,NO,71.26436782,4.597701149,1.806239737,3.639240506,1.213090909,0.14604276,0.213090943,7.754746835,103.5064313,2017,0
Josh McCown,NYJ,67.25440806,4.534005038,2.267002519,8.944954128,0.963768116,0.107174146,0.036071021,6.002293578,94.50566751,2017,0
Carson Palmer,ARI,61.42322097,3.370786517,2.621722846,7.612456747,0.791516607,0.056449413,-0.012177033,5.858131488,84.44912609,2017,0
Eli Manning,NYG,61.64623468,3.327495622,2.276707531,5.149501661,0.831455287,0.007617752,-0.103915157,5.106312292,80.36704612,2017,0
Ben Roethlisberger,PIT,64.13570275,5.331179321,2.423263328,3.582554517,0.869405047,0.137140784,0.161691576,7.101246106,94.97509424,2017,0
Philip Rivers,LAC,62.60869565,4.869565217,1.739130435,3.035413153,0.951527924,0.134302929,0.204432143,7.596964587,95.96014493,2017,0
